year,prop
2007,0.20494335736354274
2008,0.5306666666666666
2009,0.36133333333333334
2010,0.29733333333333334
2013,0.4475
2015,0.14396887159533073
2016,0.5443668993020937
2017,0.4077586206896552
2018,0.5367063492063492
