year,prop
2006,0.2716049382716049
2007,0.604
2008,0.6186666666666667
2009,0.5765645805592543
2010,0.532
2013,0.5707317073170731
2015,0.356
2016,0.646
2017,0.6407185628742516
2018,0.7152847152847153
